"Location","String Value","String Representation","Data Type"

"00cd28e0","/api/bi-collector","\"/api/bi-collector\"","ds"

"00cd58a8","/api/social-graph/character/%s/friends/info","\"/api/social-graph/character/%s/friends/info\"","ds"

"00cd8fd8","/api/binary-storage/photos/%s","\"/api/binary-storage/photos/%s\"","ds"
"00cdfc74","/api/binary-storage/photos/%s/_upload","\"/api/binary-storage/photos/%s/_upload\"","ds"
"00cdfd38","/api/binary-storage/photos/%s/access","\"/api/binary-storage/photos/%s/access\"","ds"
"00ce6174","/api/binary-storage/photos/_search","\"/api/binary-storage/photos/_search\"","ds"

"00cd9890","/api/persistent-record/characters/_checkname","\"/api/persistent-record/characters/_checkname\"","ds"
"00cdb688","/api/persistent-record/characters/create","\"/api/persistent-record/characters/create\"","ds"
"00cdb6bc","/api/persistent-record/characters/_create","\"/api/persistent-record/characters/_create\"","ds"
"00cdcb18","/api/persistent-record/characters/list","\"/api/persistent-record/characters/list\"","ds"

"00cdbd9c","/api/authentication/credentials/usernames/autologin","\"/api/authentication/credentials/usernames/autologin\"","ds"
"00cdc498","/api/authentication/sgauth/_login","\"/api/authentication/sgauth/_login\"","ds"
"00cdd72c","/api/authentication/applications/names/login","\"/api/authentication/applications/names/login\"","ds"
"00d02514","/api/authentication/credentials/usernames/logout","\"/api/authentication/credentials/usernames/logout\"","ds"
"00cfe2b0","/api/authentication/tokens/refresh","\"/api/authentication/tokens/refresh\"","ds"

"00cdd134","/api/account/get","\"/api/account/get\"","ds"

"00cde3a4","/api/game-conductor/geonode","\"/api/game-conductor/geonode\"","ds"
"00cdea74","/api/game-conductor/retrieve","\"/api/game-conductor/retrieve\"","ds"
"00cdf0b8","/api/game-conductor/reserve","\"/api/game-conductor/reserve\"","ds"

"00cde3e0","/api/matchmaking/userdatacentre/create","\"/api/matchmaking/userdatacentre/create\"","ds"

"00ce2224","/api/social-graph/friendrequest/%s","\"/api/social-graph/friendrequest/%s\"","ds"
"00cf52a8","/api/social-graph/character/%s/blocked","\"/api/social-graph/character/%s/blocked\"","ds"
"00cf6154","/api/social-graph/character/find/name/%s","\"/api/social-graph/character/find/name/%s\"","ds"

"00ce7cc0","/api/trading/find","\"/api/trading/find\"","ds"
"00ce7cdc","/api/trading/catalogue","\"/api/trading/catalogue\"","ds"

"00cea994","/api/social-graph/character/friend/remove","\"/api/social-graph/character/friend/remove\"","ds"
"00cea9c8","/api/social-graph/friendrequest/create","\"/api/social-graph/friendrequest/create\"","ds"
"00cea9f8","/api/social-graph/character/block","\"/api/social-graph/character/block\"","ds"
"00ceaa24","/api/social-graph/character/block/remove","\"/api/social-graph/character/block/remove\"","ds"

"00ceb01c","/api/binary-storage/photos/_whichIsCooler","\"/api/binary-storage/photos/_whichIsCooler\"","ds"
"00ceb1e0","/api/binary-storage/photos/%s/rating/up","\"/api/binary-storage/photos/%s/rating/up\"","ds"
"00ceb208","/api/binary-storage/photos/%s/rating/down","\"/api/binary-storage/photos/%s/rating/down\"","ds"
"00ceb23c","/api/binary-storage/photos/_report","\"/api/binary-storage/photos/_report\"","ds"

"00cf5a58","/api/social-graph/friendrequest/%s/outgoing","\"/api/social-graph/friendrequest/%s/outgoing\"","ds"
"00cf68e0","/api/social-graph/friendrequest/accept","\"/api/social-graph/friendrequest/accept\"","ds"
"00cf6910","/api/social-graph/friendrequest/reject","\"/api/social-graph/friendrequest/reject\"","ds"
